Date,ABEV,AC.MX,AMXB.MX,AXIA3.SA,B3SA3.SA,BAP,BBAS3.SA,BBD,BIMBOA.MX,BSAC,CEMEXCPO.MX,CENCOSUD.SN,CHILE.SN,CIB,EC,FALABELLA.SN,FEMSAUBD.MX,FUNO11.MX,GCARSOA1.MX,GFNORTEO.MX,GGB,GMEXICOB.MX,ISA.CL,ITSA4.SA,ITUB,LTM,NU,PAC,PBR,PBRAN.MX,RDOR3.SA,RENT3.SA,SBSP3.SA,SCCO,SQM,TIGO,VALE,VIV,WALMEX.MX,WEGE3.SA
2000-01-03,0.1494407057762146,,8.068540573120117,8.897223472595215,,4.620534896850586,0.4342407286167145,,3.7363011837005615,2.0867133140563965,6.359817981719971,314.42645263671875,,1.205352544784546,,465.33245849609375,7.829653739929199,,,1.5442405939102173,0.3124755322933197,1.9870150089263916,,0.29033684730529785,,,,,,,,,0.792951226234436,0.7235890030860901,1.3398021459579468,,,2.8720664978027344,,0.1110306903719902
2000-01-04,0.1494407057762146,,7.494375228881836,8.467077255249023,,4.571380138397217,0.4135877788066864,,3.5690040588378906,2.062448740005493,5.919521808624268,309.7979736328125,,1.1393053531646729,,457.5039978027344,7.345638275146484,,,1.386977195739746,0.2986038625240326,1.9611246585845947,,0.2626163959503174,,,,,,,,,0.7459388375282288,0.7176085114479065,1.311129093170166,,,2.55033278465271,,0.10713427513837814
2000-01-05,0.1494407057762146,,7.494375228881836,8.806668281555176,,4.595957279205322,0.41782429814338684,,3.624770402908325,2.062448740005493,5.943981647491455,305.12774658203125,,1.2218637466430664,,457.51177978515625,7.478509426116943,,,1.4306614398956299,0.3066345155239105,1.9783849716186523,,0.28450098633766174,,,,,,,,,0.7251806259155273,0.7116285562515259,1.3085230588912964,,,2.7622053623199463,,0.10713427513837814
2000-01-06,0.1494407057762146,,7.554813385009766,8.602913856506348,,4.669689178466797,0.4236493706703186,,3.4797780513763428,2.062448740005493,5.846139430999756,300.55029296875,,1.2218637466430664,,453.6015319824219,7.431053161621094,,,1.45250403881073,0.321236252784729,2.1531383991241455,,0.28887781500816345,,,,,,,,,0.7215451002120972,0.7176085114479065,1.3033097982406616,,,2.655839443206787,,0.0973946750164032
2000-01-07,0.1494407057762146,,7.585031509399414,8.738748550415039,,4.694266319274902,0.4141174852848053,,3.5318267345428467,2.0988452434539795,5.907291889190674,302.8621826171875,,1.2218637466430664,,453.6015319824219,7.934052467346191,,,1.4699772596359253,0.33145755529403687,2.2869014739990234,,0.2874189615249634,,,,,,,,,0.7316914200782776,0.7265786528587341,1.2980966567993164,,,2.9214231967926025,,0.0973946750164032
2000-01-10,0.1494407057762146,,8.295182228088379,8.985517501831055,,4.620534896850586,0.4368886649608612,,3.624770402908325,2.1109766960144043,6.029596328735352,314.4217834472656,,1.2713992595672607,,457.4336242675781,8.408574104309082,,,1.4940043687820435,0.3409486413002014,2.312791109085083,,0.29763197898864746,,,,,,,,,0.7779005765914917,0.7385390996932983,1.2928829193115234,,,3.195307970046997,,0.0973946750164032
2000-01-11,0.14302316308021545,,8.159195899963379,8.625553131103516,,4.571380138397217,0.43106314539909363,,3.4537546634674072,2.1231091022491455,5.88894510269165,319.0456848144531,,0.9907009601593018,,449.6910095214844,7.990994930267334,,,1.4088188409805298,0.3460589647293091,2.330049991607666,,0.2961727976799011,,,,,,,,,0.7741377353668213,0.7205987572669983,1.2485706806182861,,,3.120612144470215,,0.0973946750164032
2000-01-12,0.14302316308021545,,8.2045259475708,8.523676872253418,,4.767998695373535,0.4368886649608612,,3.4388842582702637,2.1352405548095703,5.876715660095215,323.66949462890625,,1.0237234830856323,,461.4223937988281,8.019466400146484,,,1.386977195739746,0.3460589647293091,2.3429954051971436,,0.29033684730529785,,,,,,,,,0.7572272419929504,0.7205987572669983,1.2277177572250366,,,3.2534027099609375,,0.09934289008378983
2000-01-13,0.14302316308021545,,8.41606616973877,8.328978538513184,,4.841731071472168,0.4294745624065399,,3.528109312057495,2.1837687492370605,5.919521808624268,323.66949462890625,,0.9907009601593018,,473.1533203125,8.27570629119873,,,1.3542137145996094,0.3497094511985779,2.330049991607666,,0.28450098633766174,,,,,,,,,0.7516040802001953,0.7265786528587341,1.251177430152893,,,3.8592684268951416,,0.10129100829362869
2000-01-14,0.14302316308021545,,8.46138858795166,8.150128364562988,,5.0137715339660645,0.42894527316093445,,3.457472801208496,2.1837687492370605,6.0173659324646,330.6053466796875,,1.0402354001998901,,480.97406005859375,8.5414400100708,,,1.3651354312896729,0.354820191860199,2.390458822250366,,0.28596004843711853,,,,,,,,,0.7666125297546387,0.7534890174865723,1.2824565172195435,,,3.933961868286133,,0.10713427513837814
