iShares Latin America 40 ETF
Fund Holdings as of,"Aug 31, 2026"
Inception Date,"Oct 25, 2001"
Shares Outstanding,"110,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","79,587,640.61","2.06","79,587,640.61","28,797,977.00","2.76","Mexico","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"ABEV","AMBEV ADR REPRESENTING ONE SA","Consumer Staples","Equity","72,816,084.46","1.89","72,816,084.46","25,371,458.00","2.87","Brazil","NYSE","USD","1.00","USD","-"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","Utilities","Equity","68,688,035.82","1.78","68,688,035.82","14,076,700.00","4.88","Brazil","XBSP","USD","5.18","BRL","-"
"AXIA3","AXIA ENERGIA SA","Utilities","Equity","68,547,039.28","1.78","68,547,039.28","6,685,401.00","10.25","Brazil","XBSP","USD","5.18","BRL","-"
"BBAS3","BANCO DO BRASIL SA","Financials","Equity","68,379,221.15","1.77","68,379,221.15","17,080,958.00","4.00","Brazil","XBSP","USD","5.18","BRL","-"
"SQM","SOCIEDAD QUIMICA Y MINERA DE CHILE","Materials","Equity","67,265,479.54","1.74","67,265,479.54","851,354.00","79.01","Chile","NYSE","USD","1.00","USD","-"
"CIB","GRUPO CIBEST AMERICAN DEPOSITARY S","Financials","Equity","63,031,170.60","1.63","63,031,170.60","655,755.00","96.12","Colombia","NYSE","USD","1.00","USD","-"
"CHILE","BANCO DE CHILE","Financials","Equity","57,111,789.14","1.48","57,111,789.14","276,998,111.00","0.21","Chile","Santiago Stock Exchange","USD","933.65","CLP","-"
"TIGO","MILLICOM INTERNATIONAL CELLULAR","Communication","Equity","54,311,042.56","1.41","54,311,042.56","579,256.00","93.76","Sweden","NASDAQ","USD","1.00","USD","-"
"PAC","GRUPO AEROPORTUARIO DEL PACIFICO A","Industrials","Equity","50,120,672.28","1.30","50,120,672.28","243,257.00","206.04","Mexico","NYSE","USD","1.00","USD","-"
