Date,AMXB.MX,AXIA3.SA,BBAS3.SA,BIMBOA.MX,CEMEXCPO.MX,CENCOSUD.SN,CIB,FALABELLA.SN,FEMSAUBD.MX,GCARSOA1.MX,GGB,ISA.CL,PAC,PBR,RENT3.SA,SQM,VALE,VIV,WALMEX.MX,WEGE3.SA
2006-02-27,5.503676414489746,10.253314971923828,2.870404005050659,7.648310661315918,21.11870384216309,676.2373657226562,11.087601661682127,1165.2864990234375,19.49946022033692,5.98065710067749,3.063936948776245,2956.1787109375,11.16324234008789,4.79628849029541,2.3275837898254395,5.878036975860596,3.928987741470337,5.203230857849121,9.107458114624023,0.7304648160934448
2006-02-28,5.458441257476807,10.253314971923828,2.870404005050659,7.526618003845215,20.751007080078125,674.046630859375,11.027097702026367,1186.79345703125,19.467145919799805,5.98065710067749,3.057235717773437,2971.209716796875,11.105401992797852,4.739439964294434,2.3275837898254395,5.866034984588623,3.839672565460205,5.225459575653076,9.056102752685549,0.7304648160934448
2006-03-01,5.6182732582092285,10.459331512451172,2.95510482788086,7.719295978546143,21.01319122314453,679.1400756835938,11.17498016357422,1184.8382568359375,19.732107162475582,5.98065710067749,3.204667806625366,3011.2939453125,11.529563903808594,4.991733074188232,2.4173524379730225,5.806033611297607,3.96950936317444,5.34770393371582,9.131622314453123,0.7304648160934448
2006-03-02,5.612242698669434,10.187661170959473,2.921435594558716,7.72740888595581,20.882099151611328,678.0447387695312,11.497628211975098,1197.663818359375,19.816118240356445,5.98065710067749,3.333338499069214,2981.230224609375,11.683809280395508,5.020428657531738,2.400681257247925,5.806033611297607,3.9662022590637207,5.427717685699463,9.225266456604004,0.7304648160934448
2006-03-03,5.609226226806641,10.119743347167969,2.946687936782837,7.646282196044922,21.06435203552246,695.5709838867188,11.420328140258787,1212.2108154296875,19.757957458496094,5.98065710067749,3.346742868423462,2916.09521484375,11.4331636428833,5.025843620300293,2.426970958709717,5.775307655334473,3.961239099502564,5.367710590362549,9.21619987487793,0.7304648160934448
2006-03-06,5.729854583740234,9.757515907287598,2.893551111221313,7.439406394958496,20.885297775268555,710.0848999023438,10.687649726867676,1204.2337646484375,19.56623649597168,5.98065710067749,3.2140512466430664,2805.86376953125,11.221081733703612,4.84826135635376,2.5007100105285645,5.692261695861816,3.8504230976104736,5.316587924957275,9.056102752685549,0.7304648160934448
2006-03-07,5.425268173217773,9.50848388671875,2.8462016582489014,7.147347927093506,20.277793884277344,698.309326171875,10.418776512145996,1180.9281005859375,19.075090408325195,5.98065710067749,3.0840415954589844,2805.86376953125,11.201802253723145,4.658771514892578,2.5007100105285645,5.568413257598877,3.699913501739502,5.165446758270264,8.959441184997559,0.7304648160934448
2006-03-08,5.337810516357422,9.497162818908691,2.888292074203491,7.214276790618896,20.364124298095703,703.0742797851562,10.704455375671388,1173.10693359375,19.12894058227539,5.98065710067749,3.070639133453369,2896.05322265625,11.16324234008789,4.63494873046875,2.46223783493042,5.486808776855469,3.608944892883301,5.285470962524414,8.787263870239258,0.7304648160934448
2006-03-09,5.364952564239502,9.350008010864258,2.840942859649658,7.159515857696533,20.351333618164062,692.996826171875,10.42550277709961,1180.9281005859375,19.314193725585938,5.98065710067749,3.045172691345215,2916.09521484375,11.356043815612791,4.51096773147583,2.3724682331085205,5.448404312133789,3.496476650238037,5.245462417602539,8.52143669128418,0.7304648160934448
2006-03-10,5.3528900146484375,9.820905685424805,2.956157922744751,7.193994998931885,20.43126678466797,695.5709838867188,10.805285453796388,1184.9163818359375,19.60285186767578,5.98065710067749,3.063936948776245,2956.1787109375,11.394600868225098,4.581891059875488,2.46223783493042,5.479126453399658,3.576693058013916,5.309919834136963,8.696640014648438,0.7304648160934448
2006-03-13,5.458441257476807,9.68959903717041,3.019813537597656,7.256868362426758,20.680667877197266,696.6663818359375,10.88258457183838,1200.4794921875,19.486528396606445,5.98065710067749,3.086723804473877,2916.09521484375,11.760924339294434,4.617624759674072,2.3724682331085205,5.508410453796387,3.582481861114502,5.218790531158447,8.784239768981934,0.7304648160934448
2006-03-14,5.563992023468018,10.300857543945312,3.0455942153930664,7.331912517547607,20.744611740112305,690.367919921875,11.101221084594728,1211.663330078125,19.43698501586914,5.98065710067749,3.1671411991119385,2886.03173828125,11.838048934936523,4.783292293548584,2.3404080867767334,5.630817890167236,3.6502954959869385,5.336591720581055,8.850693702697754,0.7304648160934448
2006-03-15,5.645414352416992,10.461596488952637,3.065586566925049,7.299461364746094,21.61749839782715,687.3006591796875,11.28060531616211,1200.4794921875,20.55499649047852,5.98065710067749,3.2877678871154785,2936.136962890625,12.397178649902344,4.901319980621338,2.3404080867767334,5.704264163970947,3.730512142181397,5.469949722290039,8.823508262634277,0.7304648160934448
2006-03-16,5.654458999633789,10.613276481628418,3.066112518310547,7.40289831161499,22.349699020385746,690.25830078125,11.338138580322266,1213.85302734375,20.884580612182617,5.98065710067749,3.28240704536438,2956.1787109375,12.605402946472168,4.893198490142822,2.3404080867767334,5.698503017425537,3.721414566040039,5.552187442779541,8.971527099609375,0.7304648160934448
2006-03-17,5.687633991241455,10.862311363220217,3.0461199283599854,7.625999927520752,22.346498489379883,688.8890380859375,11.40921688079834,1211.4283447265625,21.04182815551757,5.98065710067749,3.248897790908813,3056.387939453125,12.66710090637207,4.785459041595459,2.295522451400757,5.626018524169922,3.71479868888855,5.418828964233398,9.004752159118652,0.7304648160934448
2006-03-20,5.693174839019775,11.15888214111328,3.014555215835572,7.609774112701416,22.49357986450196,697.4878540039062,11.189220428466797,1196.569580078125,21.37141799926757,5.98065710067749,3.212710380554199,3056.387939453125,12.782780647277832,4.7508087158203125,2.295522451400757,5.700423240661621,3.713145017623901,5.343263149261475,9.113497734069824,0.7304648160934448
2006-03-21,5.693174839019775,11.161147117614746,2.925118923187256,7.609774112701416,22.49357986450196,700.1715087890625,11.118148803710938,1184.8382568359375,21.37141799926757,5.675827980041504,3.0880630016326904,3046.366943359375,13.033422470092772,4.677177906036377,2.2057552337646484,5.621216773986816,3.651122093200684,5.234350681304932,9.113497734069824,0.7304648160934448
2006-03-22,5.735435485839844,11.647891998291016,3.041386604309082,7.569209575653076,22.81651306152344,701.0479125976562,11.277215957641602,1195.7872314453125,20.968589782714844,5.675827980041504,3.1255905628204346,3011.2939453125,13.110547065734863,4.607880592346191,2.308347702026367,5.641377925872803,3.656910181045532,5.383265495300293,9.189017295837402,0.7304648160934448
2006-03-23,5.720340728759766,11.88560390472412,2.9045987129211426,7.411010265350342,22.52555274963379,703.786376953125,11.412598609924316,1235.5166015625,21.02676010131836,5.675827980041504,3.1028060913085938,3016.3037109375,13.110547065734863,4.618166446685791,2.301936388015747,5.602017402648926,3.63871693611145,5.243239879608154,8.94736099243164,0.7304648160934448
2006-03-24,5.524130821228027,11.772408485412598,2.929853200912476,7.481997966766357,22.67902946472168,714.740234375,11.43967342376709,1235.6727294921875,21.031063079833984,5.675827980041504,3.134973764419556,3051.376953125,12.566839218139648,4.642529010772705,2.4173524379730225,5.623617649078369,3.7445709705352783,5.1121015548706055,8.956421852111816,0.7304648160934448
2006-03-27,5.524130821228027,11.206424713134766,2.790961742401123,7.244699478149414,22.73657989501953,708.49658203125,11.19260597229004,1243.49365234375,21.26156044006348,5.675827980041504,3.093424081802368,3026.32421875,11.915169715881348,4.616540908813477,2.4558253288269043,5.537211894989014,3.790881633758545,5.369928359985352,8.787263870239258,0.7304648160934448
2006-03-28,5.524130821228027,10.527251243591309,2.609457492828369,7.179798603057861,21.969209671020508,715.1782836914062,11.520903587341309,1232.5445556640625,21.68377685546875,5.675827980041504,2.9433093070983887,3021.314208984375,12.489718437194824,4.476861000061035,2.3724682331085205,5.455606460571289,3.726376533508301,5.418828964233398,8.560705184936523,0.7304648160934448
2006-03-29,5.569410800933838,11.204161643981934,2.6725895404815674,7.218333721160889,22.3369083404541,729.4185180664062,11.561511993408203,1252.87841796875,21.69669914245605,5.675827980041504,2.990220308303833,3046.366943359375,12.609254837036133,4.608419418334961,2.3718276023864746,5.494008541107178,3.848769903182984,5.3521504402160645,8.672472953796387,0.7937722206115723
2006-03-30,5.569410800933838,11.036632537841797,2.688372850418091,7.281207084655762,22.57990837097168,725.6940307617188,11.70366382598877,1251.157958984375,21.54159545898437,5.675827980041504,2.984859228134156,3031.334228515625,12.335477828979492,4.675556182861328,2.359645366668701,5.532411098480225,3.991009473800659,5.532186031341553,8.70570182800293,0.7937722206115723
2006-03-31,5.584502696990967,11.036632537841797,2.9198570251464844,7.246728420257568,22.66943550109864,731.2807006835938,11.811970710754396,1262.732666015625,21.42312240600586,5.675827980041504,3.0183663368225098,3046.366943359375,12.320054054260254,4.692337512969971,2.359645366668701,5.448404312133789,4.013339996337891,5.489952564239502,8.687575340270996,0.7937722206115723
2006-04-03,5.765621662139893,11.206424713134766,2.901445150375366,7.3603081703186035,22.835697174072266,739.3864135742188,12.116579055786133,1251.3143310546875,21.78932762145996,5.675827980041504,3.1215710639953613,3061.471923828125,12.22365379333496,4.840141296386719,2.353232383728028,5.395602226257324,4.074536323547363,5.56330156326294,8.950383186340332,0.7937722206115723
2006-04-04,5.717325210571289,11.383011817932127,2.883031845092773,7.595577716827393,23.363264083862305,733.9094848632812,12.15719223022461,1231.7625732421875,21.93580818176269,5.675827980041504,3.2220921516418457,3086.648193359375,12.107973098754885,4.847540855407715,2.3404080867767334,5.477208614349365,4.048070907592773,5.587748527526856,9.053083419799805,0.7937722206115723
2006-04-05,5.780713081359863,11.973898887634276,2.788332223892212,7.433321952819824,23.83328056335449,739.3864135742188,11.78827953338623,1231.7625732421875,21.86256599426269,5.675827980041504,3.2636430263519287,3111.825927734375,11.953729629516602,4.939075946807861,2.430177927017212,5.5156097412109375,4.089422702789307,5.478842258453369,9.09537410736084,0.7937722206115723
2006-04-06,5.735435485839844,12.904369354248049,2.798853635787964,7.453603744506836,24.149826049804688,728.4326782226562,11.791665077209473,1251.3143310546875,21.58899307250977,5.675827980041504,3.286427021026612,3111.825927734375,12.03085231781006,4.999369144439697,2.46223783493042,5.5194478034973145,4.118364810943604,5.432163715362549,9.019858360290527,0.7937722206115723
2006-04-07,5.554317474365234,13.130762100219728,2.872509241104126,7.342052936553955,23.887636184692383,722.9557495117188,11.31106948852539,1251.3143310546875,21.07845687866211,5.675827980041504,3.200648069381714,2985.9423828125,12.069413185119627,4.919344425201416,2.449414014816284,5.424401760101318,4.027398586273193,5.401047229766846,8.859756469726562,0.7937722206115723
