iShares Latin America 40 ETF
A fecha de,"31-jul-2026"
Fecha de constitución,"25-oct-2001"
Acciones en circulación,"108,750,000.00"
% en Acciones,"-"
% del Bono,"-"
% en Efectivo,"-"
% en Otro,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AC*","ARCA CONTINENTAL","Productos básicos de consumo","Renta Variable","33,105,853.53","0.86","33,105,853.53","2,894,285.00","11.44","México","Bolsa Mexicana De Valores","USD","17.35","MXN","-"
"FALABELLA","FALABELLA SACI SA","Consumo discrecional","Renta Variable","32,430,217.16","0.84","32,430,217.16","4,844,055.00","6.69","Chile","Santiago Stock Exchange","USD","928.48","CLP","-"
"BSAC","BANCO SANTANDER CHILE ADR REPRESEN","Financieros","Renta Variable","31,482,052.03","0.82","31,482,052.03","909,623.00","34.61","Chile","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FUNO11","FIBRA UNO ADMINISTRACION REIT","Inmobiliario","Renta Variable","28,988,514.94","0.76","28,988,514.94","16,125,756.00","1.80","México","Bolsa Mexicana De Valores","USD","17.35","MXN","-"
"BIMBOA","GRUPO BIMBO A","Productos básicos de consumo","Renta Variable","28,760,547.55","0.75","28,760,547.55","8,053,696.00","3.57","México","Bolsa Mexicana De Valores","USD","17.35","MXN","-"
"VIV","TELEFONICA BRASIL ADS REPRESENTING","Comunicación","Renta Variable","28,174,114.28","0.73","28,174,114.28","2,180,659.00","12.92","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GCARSOA1","GRUPO CARSO SERIES A1","Industriales","Renta Variable","27,007,145.30","0.70","27,007,145.30","3,160,561.00","8.55","México","Bolsa Mexicana De Valores","USD","17.35","MXN","-"
"ISA","INTERCONEXION ELECTRICA SA","Servicios","Renta Variable","24,633,493.46","0.64","24,633,493.46","2,592,358.00","9.50","Colombia","Bolsa De Valores De Colombia","USD","3,146.59","COP","-"
"EC","ECOPETROL ADR REPRESENTING SA","Energía","Renta Variable","24,316,147.83","0.63","24,316,147.83","1,449,979.00","16.77","Colombia","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USD","USD CASH","Liquidez","Cash","15,305,223.79","0.40","15,305,223.79","15,305,224.00","100.00","Estados Unidos","-","USD","1.00","USD","-"
"CENCOSUD","CENCOSUD SA","Productos básicos de consumo","Renta Variable","15,281,343.66","0.40","15,281,343.66","7,257,837.00","2.11","Chile","Santiago Stock Exchange","USD","928.48","CLP","-"
"COPEC","EMPRESAS COPEC SA","Consumo discrecional","Renta Variable","14,633,413.34","0.38","14,633,413.34","2,139,647.00","6.84","Chile","Santiago Stock Exchange","USD","928.48","CLP","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Liquidez","Money Market","8,233,104.44","0.21","8,233,104.44","8,233,104.00","1.00","Estados Unidos","-","USD","1.00","USD","-"
"BRL","BRL CASH","Liquidez","Cash","5,950,082.43","0.15","5,950,082.43","30,230,286.00","19.68","Brasil","-","USD","5.08","BRL","-"
"MXN","MXN CASH","Liquidez","Cash","1,804,733.13","0.05","1,804,733.13","31,312,842.00","5.76","México","-","USD","17.35","MXN","-"
"HBCFT","CASH COLLATERAL USD HBCFT","Liquidez","Cash Collateral and Margins","1,538,000.00","0.04","1,538,000.00","1,538,000.00","100.00","Reino Unido","-","USD","1.00","USD","28-may-2019"
"HBCFT","CASH COLLATERAL MXN HBCFT","Liquidez","Cash Collateral and Margins","1,187,350.15","0.03","1,187,350.15","20,601,000.00","5.76","México","-","USD","17.35","MXN","19-feb-2019"
"CLP","CLP CASH","Liquidez","Cash","364,710.76","0.01","364,710.76","338,624,825.00","0.11","Chile","-","USD","928.48","CLP","-"
"COP","COP CASH","Liquidez","Cash","668.21","0.00","668.21","2,102,597.00","0.03","Colombia","-","USD","3,146.59","COP","-"
"ISU6","MEXICAN BOLSA INDEX FUTURE SEP 26","Liquidez","Futures","0.00","0.00","12,879,389.52","332.00","3,879.33","-","Mercado Mexicano De Derivados","USD","17.35","MXN","-"
"MCBU6","BCLEAR MSCI BRAZIL INDEX SEP 26","Liquidez","Futures","0.00","0.00","22,530,100.00","290.00","776.90","-","IFLL","USD","1.00","USD","-"
 
