Date,Close
7/16/2010 16:00:00,4198.32
7/19/2010 16:00:00,4241.34
7/20/2010 16:00:00,4354.37
7/21/2010 16:00:00,4348.2
7/22/2010 16:00:00,4482.36
7/23/2010 16:00:00,4502.25
7/27/2010 16:00:00,4485.2
7/28/2010 16:00:00,4504.74
7/29/2010 16:00:00,4502.74
7/30/2010 16:00:00,4535.38
8/2/2010 16:00:00,4623.52
8/3/2010 16:00:00,4591.85
8/4/2010 16:00:00,4603.61
8/5/2010 16:00:00,4604.49
8/6/2010 16:00:00,4579.85
8/9/2010 16:00:00,4599.5
8/10/2010 16:00:00,4558.35
8/11/2010 16:00:00,4416.46
8/12/2010 16:00:00,4432.12
8/13/2010 16:00:00,4455.7
8/16/2010 16:00:00,4512.93
8/17/2010 16:00:00,4553.4
8/18/2010 16:00:00,4561.44
8/19/2010 16:00:00,4494.58
8/20/2010 16:00:00,4491.11
8/23/2010 16:00:00,4424.04
8/24/2010 16:00:00,4349.26
8/25/2010 16:00:00,4329.39
8/26/2010 16:00:00,4290.7
8/27/2010 16:00:00,4417.63
8/30/2010 16:00:00,4329.86
8/31/2010 16:00:00,4400.2
9/1/2010 16:00:00,4548.49
9/2/2010 16:00:00,4573.31
9/3/2010 16:00:00,4601.01
9/6/2010 16:00:00,4605.29
9/7/2010 16:00:00,4537.79
9/8/2010 16:00:00,4566.43
9/9/2010 16:00:00,4579.91
9/10/2010 16:00:00,4592.9
9/13/2010 16:00:00,4700.82
9/14/2010 16:00:00,4701.18
9/15/2010 16:00:00,4698.86
9/16/2010 16:00:00,4702.41
9/17/2010 16:00:00,4679.49
9/20/2010 16:00:00,4712.44
9/21/2010 16:00:00,4708.64
9/22/2010 16:00:00,4722.53
9/23/2010 16:00:00,4739.88
9/24/2010 16:00:00,4759.26
9/27/2010 16:00:00,4787.35
9/28/2010 16:00:00,4841.73
9/29/2010 16:00:00,4856.66
9/30/2010 16:00:00,4923.35
10/1/2010 16:00:00,4984.23
10/4/2010 16:00:00,4956.37
10/5/2010 16:00:00,5048.64
10/7/2010 16:00:00,4957.62
10/8/2010 16:00:00,5039.44
10/11/2010 16:00:00,5050.27
10/12/2010 16:00:00,5054.31
10/13/2010 16:00:00,5144.92
10/14/2010 16:00:00,5134.28
10/15/2010 16:00:00,5117.46
10/18/2010 16:00:00,5152.12
10/19/2010 16:00:00,5006.52
10/20/2010 16:00:00,5080.32
10/21/2010 16:00:00,5010.11
10/22/2010 16:00:00,5014.19
10/25/2010 16:00:00,5060.49
10/26/2010 16:00:00,5094.81
10/27/2010 16:00:00,5010.86
10/28/2010 16:00:00,5043.35
10/29/2010 16:00:00,5081.72
11/1/2010 16:00:00,5120.22
11/2/2010 16:00:00,5191.51
11/3/2010 16:00:00,5183.9
11/4/2010 16:00:00,5313.77
11/5/2010 16:00:00,5300.54
11/8/2010 16:00:00,5303.38
11/9/2010 16:00:00,5201.57
11/10/2010 16:00:00,5212.52
11/11/2010 16:00:00,5171.88
11/12/2010 16:00:00,5085.45
11/15/2010 16:00:00,5091.31
11/16/2010 16:00:00,4953.95
11/17/2010 16:00:00,4986.83
11/18/2010 16:00:00,5098.44
11/19/2010 16:00:00,5120.45
11/22/2010 16:00:00,5089.34
11/23/2010 16:00:00,4954.09
11/24/2010 16:00:00,5079.23
11/25/2010 16:00:00,5076.79
11/26/2010 16:00:00,4994.2
11/29/2010 16:00:00,4987.5
11/30/2010 16:00:00,4951.38
12/1/2010 16:00:00,5058.03
12/2/2010 16:00:00,5118.64
12/3/2010 16:00:00,5141.1
12/6/2010 16:00:00,5139.8
12/7/2010 16:00:00,5105.98
12/8/2010 16:00:00,5065.97
12/9/2010 16:00:00,5016.98
12/10/2010 16:00:00,5042.2
12/13/2010 16:00:00,5099.8
12/14/2010 16:00:00,5106.03
12/15/2010 16:00:00,5043.31
12/16/2010 16:00:00,5051.29
12/17/2010 16:00:00,5067.78
12/20/2010 16:00:00,5047.75
12/21/2010 16:00:00,5110.56
12/22/2010 16:00:00,5136.37
12/23/2010 16:00:00,5121.24
12/24/2010 16:00:00,5120.13
12/27/2010 16:00:00,5089.12
12/28/2010 16:00:00,5081.89
12/29/2010 16:00:00,5163.49
12/30/2010 16:00:00,5218.56
12/31/2010 16:00:00,5245.76
1/3/2011 16:00:00,5293.84
1/4/2011 16:00:00,5273.63
1/5/2011 16:00:00,5277.08
1/6/2011 16:00:00,5201.45
1/7/2011 16:00:00,5147.19
1/10/2011 16:00:00,5123.46
1/11/2011 16:00:00,5171.37
1/12/2011 16:00:00,5258.55
1/13/2011 16:00:00,5214.21
1/14/2011 16:00:00,5211.76
1/17/2011 16:00:00,5214.12
1/18/2011 16:00:00,5238.12
1/19/2011 16:00:00,5175.87
1/20/2011 16:00:00,5104.19
1/21/2011 16:00:00,5078.44
1/24/2011 16:00:00,5144.27
1/25/2011 16:00:00,5089.92
1/26/2011 16:00:00,5118.32
1/27/2011 16:00:00,5061.7
1/28/2011 16:00:00,4952.15
1/31/2011 16:00:00,4989.17
2/1/2011 16:00:00,5097.22
2/2/2011 16:00:00,5051.21
2/3/2011 16:00:00,5037.94
2/4/2011 16:00:00,4985.43
2/7/2011 16:00:00,4954.84
2/8/2011 16:00:00,5001.15
2/9/2011 16:00:00,4885.82
2/10/2011 16:00:00,4881.43
2/11/2011 16:00:00,4968.96
2/14/2011 16:00:00,4992.83
2/15/2011 16:00:00,5001.6
2/16/2011 16:00:00,5055.32
2/17/2011 16:00:00,5084.11
2/18/2011 16:00:00,5105.74
2/21/2011 16:00:00,5086.47
2/22/2011 16:00:00,4959.84
2/23/2011 16:00:00,4965.3
2/24/2011 16:00:00,4973.67
2/25/2011 16:00:00,5012.94
2/28/2011 16:00:00,5050.45
3/1/2011 16:00:00,4984.55
3/2/2011 16:00:00,5038.35
3/3/2011 16:00:00,5126.71
3/4/2011 16:00:00,5111.18
3/7/2011 16:00:00,5044.46
3/8/2011 16:00:00,5023.53
3/9/2011 16:00:00,5016.15
3/10/2011 16:00:00,4890.52
3/11/2011 16:00:00,4926.09
3/14/2011 16:00:00,4960.09
3/15/2011 16:00:00,4919.63
3/16/2011 16:00:00,4810.41
3/17/2011 16:00:00,4824.02
3/18/2011 16:00:00,4872.67
3/21/2011 16:00:00,4924.31
3/22/2011 16:00:00,4995.91
3/23/2011 16:00:00,5032.5
3/24/2011 16:00:00,5066.09
3/25/2011 16:00:00,5051.52
3/28/2011 16:00:00,5022.67
3/29/2011 16:00:00,5049.56
3/30/2011 16:00:00,5132.18
3/31/2011 16:00:00,5202.84
4/1/2011 16:00:00,5279.06
4/4/2011 16:00:00,5296.77
4/5/2011 16:00:00,5311.53
4/6/2011 16:00:00,5276.98
4/7/2011 16:00:00,5284.53
4/8/2011 16:00:00,5288.02
4/11/2011 16:00:00,5240.42
4/12/2011 16:00:00,5138.38
4/13/2011 16:00:00,5122.88
4/14/2011 16:00:00,5117.4
4/15/2011 16:00:00,5145.96
