Rating,Industry,Sector,Revenue,cada_hora,empleador,sueldo_min,sueldo_max,sueldo_promedio,titulo,senioridad,python_yn,r_yn,spark_yn,aws_yn,excel_yn,len_desc,compania,estado,HQ,tamano,ano,org,num_comps
3.8,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,86,143,114.5,cientifico de datos,na,1,0,0,0,0,5045,Novartis,MA,0,10000+ ,24,publico,-1
3.8,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),0,0,93,149,121.0,cientifico de datos,na,1,0,1,0,1,2327,Juniper Networks,CA,1,5001-10000 ,24,publico,-1
4.7,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,0,85,140,112.5,cientifico de datos,na,1,0,0,0,1,2161,New England Biolabs,MA,1,201-500 ,46,privado,3
4.2,IT Services,Information Technology,Unknown / Non-Applicable,0,0,77,135,106.0,analysta de datos,na,1,0,0,0,1,1739,Clarity Insights,CA,0,201-500 ,12,privado,-1
3.5,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),0,0,82,132,107.0,cientifico de datos,na,1,0,1,1,0,5000,Esri,CA,1,1001-5000 ,51,privado,1
4.7,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,83,137,110.0,cientifico de datos,na,1,0,1,0,1,3703,Systems & Technology Research,MA,1,201-500 ,10,privado,-1
3.5,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,0,115,180,147.5,cientifico de datos,senior,1,0,0,0,1,3555,Sartorius,CA,0,5001-10000 ,150,publico,-1
3.5,Insurance Carriers,Insurance,$100 to $500 million (USD),0,0,74,138,106.0,ingeniero de datos,na,1,0,0,0,1,1739,Lancer Insurance,NY,1,201-500 ,35,privado,-1
4.2,IT Services,Information Technology,$50 to $100 million (USD),0,0,64,112,88.0,analysta de datos,na,1,0,0,1,1,3053,Sauce Labs,CA,1,201-500 ,12,privado,3
3.6,-1,-1,Less than $1 million (USD),0,0,68,129,98.5,ingeniero de datos,na,0,0,0,0,1,1996,Persivia,MA,0,1-50 ,-1,privado,-1
4.2,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,110,175,142.5,cientifico de datos,na,0,0,0,0,0,3833,Nuna,CA,1,51-200 ,10,privado,-1
3.4,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),0,0,52,113,82.5,na,na,0,0,0,1,0,3550,Edgewell Personal Care,NJ,0,5001-10000 ,5,publico,3
4.3,Real Estate,Real Estate,$2 to $5 billion (USD),0,1,110,150,130.0,cientifico de datos,senior,1,0,1,0,1,9120,Equity Residential,IL,1,1001-5000 ,27,publico,3
5.0,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,1,150,160,155.0,cientifico de datos,na,0,0,0,1,1,3213,BPA Services,DC,0,Unknown,-1,privado,-1
3.7,IT Services,Information Technology,$10+ billion (USD),0,0,158,211,184.5,cientifico de datos,na,1,0,0,0,1,7286,Visa Inc.,WA,0,10000+ ,62,publico,3
3.1,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),0,0,20,39,29.5,analysta de datos,na,0,0,0,0,1,3412,Intrado,CO,0,5001-10000 ,34,privado,-1
4.7,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,56,117,86.5,na,na,0,0,0,0,0,2682,Centauri,OH,0,501-1000 ,21,privado,3
3.7,Industrial Manufacturing,Manufacturing,$10+ billion (USD),0,0,63,99,81.0,cientifico de datos,na,0,0,0,0,0,2739,Caterpillar,IL,0,10000+ ,95,publico,3
