ID_MES,ID_PAIS,ID_CONTINENTE,ID_OCM,NUMERO_VISITANTES
1,1,5,1,5
1,1,5,2,14
1,1,5,3,0
1,1,5,4,0
1,1,5,5,0
1,1,5,6,0
1,2,4,1,28
1,2,4,2,0
1,2,4,3,0
1,2,4,4,0
1,2,4,5,0
1,2,4,6,2
1,3,4,1,20212
1,3,4,2,682
1,3,4,3,1213
1,3,4,4,913
1,3,4,5,791
1,3,4,6,2788
1,4,4,1,39
1,4,4,2,2
1,4,4,3,0
1,4,4,4,0
1,4,4,5,0
1,4,4,6,0
1,5,6,1,6
1,5,6,2,0
1,5,6,3,0
1,5,6,4,0
1,5,6,5,1
1,5,6,6,2
1,6,2,1,6
1,6,2,2,0
1,6,2,3,0
1,6,2,4,1
1,6,2,5,0
1,6,2,6,1
1,7,5,1,62
1,7,5,2,0
1,7,5,3,0
1,7,5,4,0
1,7,5,5,2
1,7,5,6,1
1,8,6,1,27
1,8,6,2,0
1,8,6,3,1
1,8,6,4,0
1,8,6,5,1
1,8,6,6,1
1,9,3,1,64642
1,9,3,2,11937
1,9,3,3,7324
1,9,3,4,2932
1,9,3,5,1727
1,9,3,6,2217
1,10,5,1,51
1,10,5,2,7
1,10,5,3,2
1,10,5,4,2
1,10,5,5,3
1,10,5,6,0
1,11,2,1,42
1,11,2,2,0
1,11,2,3,0
1,11,2,4,0
1,11,2,5,0
1,11,2,6,0
1,12,7,1,9775
1,12,7,2,124
1,12,7,3,333
1,12,7,4,227
1,12,7,5,206
1,12,7,6,1492
1,13,4,1,2305
1,13,4,2,63
1,13,4,3,95
1,13,4,4,105
1,13,4,5,58
1,13,4,6,309
1,14,5,1,20
1,14,5,2,0
1,14,5,3,0
1,14,5,4,0
1,14,5,5,0
1,14,5,6,0
1,15,2,1,41
1,15,2,2,0
1,15,2,3,0
1,15,2,4,0
1,15,2,5,1
1,15,2,6,4
1,16,5,1,8
1,16,5,2,0
1,16,5,3,0
1,16,5,4,0
1,16,5,5,0
1,16,5,6,0
1,17,5,1,35
1,17,5,2,1
1,17,5,3,1
1,17,5,4,0
1,17,5,5,0
1,17,5,6,29
1,18,2,1,88
1,18,2,2,1
1,18,2,3,3
1,18,2,4,1
1,18,2,5,1
1,18,2,6,6
1,19,4,1,3057
1,19,4,2,97
1,19,4,3,156
1,19,4,4,101
1,19,4,5,100
1,19,4,6,190
1,20,2,1,171
1,20,2,2,0
1,20,2,3,3
1,20,2,4,0
1,20,2,5,0
1,20,2,6,0
1,21,4,1,190
1,21,4,2,1
1,21,4,3,5
1,21,4,4,1
1,21,4,5,4
1,21,4,6,8
1,22,6,1,0
1,22,6,2,0
1,22,6,3,0
1,22,6,4,0
1,22,6,5,3
1,22,6,6,0
1,23,2,1,5
1,23,2,2,0
1,23,2,3,0
1,23,2,4,0
1,23,2,5,0
1,23,2,6,0
1,24,5,1,1
1,24,5,2,0
1,24,5,3,0
1,24,5,4,0
1,24,5,5,0
1,24,5,6,0
