,NUMERO_VISITANTES,ID_MES_1,ID_MES_2,ID_MES_3,ID_MES_4,ID_MES_5,ID_MES_6,ID_MES_7,ID_MES_8,ID_MES_9,ID_MES_10,ID_MES_11,ID_MES_12,ID_PAIS_1,ID_PAIS_2,ID_PAIS_3,ID_PAIS_4,ID_PAIS_5,ID_PAIS_6,ID_PAIS_7,ID_PAIS_8,ID_PAIS_9,ID_PAIS_10,ID_PAIS_11,ID_PAIS_12,ID_PAIS_13,ID_PAIS_14,ID_PAIS_15,ID_PAIS_16,ID_PAIS_17,ID_PAIS_18,ID_PAIS_19,ID_PAIS_20,ID_PAIS_21,ID_PAIS_22,ID_PAIS_23,ID_PAIS_24,ID_PAIS_25,ID_PAIS_26,ID_PAIS_27,ID_PAIS_28,ID_PAIS_29,ID_PAIS_30,ID_PAIS_31,ID_PAIS_32,ID_PAIS_33,ID_PAIS_34,ID_PAIS_35,ID_PAIS_36,ID_PAIS_37,ID_PAIS_38,ID_PAIS_39,ID_PAIS_40,ID_PAIS_41,ID_PAIS_42,ID_PAIS_43,ID_PAIS_44,ID_PAIS_45,ID_PAIS_46,ID_PAIS_47,ID_PAIS_48,ID_PAIS_49,ID_PAIS_50,ID_PAIS_51,ID_PAIS_52,ID_PAIS_53,ID_PAIS_54,ID_PAIS_55,ID_PAIS_56,ID_PAIS_57,ID_PAIS_58,ID_PAIS_59,ID_PAIS_60,ID_PAIS_61,ID_PAIS_62,ID_PAIS_63,ID_PAIS_64,ID_PAIS_65,ID_PAIS_66,ID_PAIS_67,ID_PAIS_68,ID_PAIS_69,ID_PAIS_70,ID_PAIS_71,ID_PAIS_72,ID_PAIS_73,ID_PAIS_74,ID_PAIS_75,ID_PAIS_76,ID_PAIS_77,ID_PAIS_78,ID_PAIS_79,ID_PAIS_80,ID_PAIS_81,ID_PAIS_82,ID_PAIS_83,ID_PAIS_84,ID_PAIS_85,ID_PAIS_86,ID_PAIS_87,ID_PAIS_88,ID_PAIS_89,ID_PAIS_90,ID_PAIS_91,ID_PAIS_92,ID_PAIS_93,ID_PAIS_94,ID_PAIS_95,ID_PAIS_96,ID_PAIS_97,ID_PAIS_98,ID_PAIS_99,ID_PAIS_100,ID_PAIS_101,ID_PAIS_102,ID_PAIS_103,ID_PAIS_104,ID_PAIS_105,ID_PAIS_106,ID_PAIS_107,ID_PAIS_108,ID_PAIS_109,ID_PAIS_110,ID_PAIS_111,ID_PAIS_112,ID_PAIS_113,ID_PAIS_114,ID_PAIS_115,ID_PAIS_116,ID_PAIS_117,ID_PAIS_118,ID_PAIS_119,ID_PAIS_120,ID_PAIS_121,ID_PAIS_122,ID_PAIS_123,ID_PAIS_124,ID_PAIS_125,ID_PAIS_126,ID_PAIS_127,ID_PAIS_128,ID_PAIS_129,ID_PAIS_130,ID_PAIS_131,ID_PAIS_132,ID_PAIS_133,ID_PAIS_134,ID_PAIS_135,ID_PAIS_136,ID_PAIS_137,ID_PAIS_138,ID_PAIS_139,ID_PAIS_140,ID_PAIS_141,ID_PAIS_142,ID_PAIS_143,ID_PAIS_144,ID_PAIS_145,ID_PAIS_146,ID_PAIS_147,ID_PAIS_148,ID_PAIS_149,ID_PAIS_150,ID_PAIS_151,ID_PAIS_152,ID_PAIS_153,ID_PAIS_154,ID_PAIS_155,ID_PAIS_156,ID_PAIS_157,ID_PAIS_158,ID_PAIS_159,ID_PAIS_160,ID_PAIS_161,ID_PAIS_162,ID_PAIS_163,ID_PAIS_164,ID_PAIS_165,ID_PAIS_166,ID_PAIS_167,ID_PAIS_168,ID_PAIS_169,ID_PAIS_170,ID_PAIS_171,ID_PAIS_172,ID_PAIS_173,ID_PAIS_174,ID_PAIS_175,ID_PAIS_176,ID_PAIS_177,ID_PAIS_178,ID_PAIS_179,ID_PAIS_180,ID_PAIS_181,ID_PAIS_182,ID_PAIS_183,ID_PAIS_184,ID_PAIS_185,ID_PAIS_186,ID_PAIS_187,ID_PAIS_188,ID_PAIS_189,ID_PAIS_190,ID_PAIS_191,ID_PAIS_192,ID_PAIS_193,ID_PAIS_194,ID_PAIS_195,ID_PAIS_196,ID_PAIS_197,ID_PAIS_198,ID_CONTINENTE_1,ID_CONTINENTE_2,ID_CONTINENTE_3,ID_CONTINENTE_4,ID_CONTINENTE_5,ID_CONTINENTE_6,ID_CONTINENTE_7,ID_CONTINENTE_11,ID_OCM_1,ID_OCM_2,ID_OCM_3,ID_OCM_4,ID_OCM_5,ID_OCM_6
0,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1,14,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
3,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
4,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
5,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
6,28,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
8,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
9,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
