Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2000-01-03,0.8377240896224976,4.46875,,,35.44361877441406,0.08930625766515732,
2000-01-04,0.7670958638191223,4.096875190734863,,,34.24631881713867,0.08692172914743423,
2000-01-05,0.778320848941803,3.487499952316284,,,34.60739517211914,0.08406013250350952,
2000-01-06,0.7109661102294922,3.278125047683716,,,33.4481315612793,0.07857497781515121,
2000-01-07,0.7446438670158386,3.4781250953674316,,,33.885231018066406,0.07988719642162323,
2000-01-10,0.7315469980239868,3.4593749046325684,,,34.132293701171875,0.08250981569290161,
2000-01-11,0.6941279172897339,3.3375000953674316,,,33.25807189941406,0.07917109876871109,
2000-01-12,0.6524988412857056,3.1781249046325684,,,32.174808502197266,0.07714462280273438,
2000-01-13,0.724062979221344,3.296875,,,32.782955169677734,0.08036337047815323,
2000-01-14,0.7516595721244812,3.2125000953674316,,,34.132293701171875,0.0838211178779602,
2000-01-18,0.7778530716896057,3.206249952316284,,,35.06352233886719,0.08739885687828064,
2000-01-19,0.7974985241889954,3.340625047683716,,,32.535888671875,0.08656370639801025,
2000-01-20,0.8494178652763367,3.237499952316284,,,32.23182678222656,0.08632558584213257,
2000-01-21,0.8330469131469727,3.1031250953674316,,,31.54766273498535,0.08537141978740692,
2000-01-24,0.7951600551605225,3.5062499046325684,,,30.787464141845703,0.08155658096075058,
2000-01-25,0.84006267786026,3.4625000953674316,,,31.26259422302246,0.08084045350551605,
2000-01-26,0.8246272206306458,3.2406249046325684,,,30.217357635498047,0.07750175148248672,
2000-01-27,0.8232243657112122,3.346874952316284,,,30.027292251586914,0.07344789057970047,
2000-01-28,0.7605466246604919,3.0843749046325684,,,29.87527084350586,0.07130234688520432,
2000-01-31,0.7764498591423035,3.2281250953674316,,,29.7612361907959,0.07070624083280563,
2000-02-01,0.7502562403678894,3.371875047683716,,,31.300622940063477,0.07237467914819717,
2000-02-02,0.7394981980323792,3.471874952316284,,,30.65445327758789,0.07440202683210373,
2000-02-03,0.7731760144233704,4.209374904632568,,,31.509660720825195,0.07559433579444885,
2000-02-04,0.808256983757019,3.9281249046325684,,,32.40286636352539,0.07738272100687027,
2000-02-07,0.85362708568573,3.75,,,32.421897888183594,0.0726136565208435,
2000-02-08,0.859708309173584,4.15625,,,33.42912673950195,0.07607138901948929,
2000-02-09,0.842868983745575,4.012499809265137,,,31.623672485351562,0.07797884196043015,
2000-02-10,0.8494178652763367,3.809375047683716,,,32.23182678222656,0.09395626932382584,
2000-02-11,0.8138694763183594,3.809375047683716,,,30.388378143310547,0.09538757055997849,
2000-02-14,0.8667242527008057,3.721874952316284,,,30.29337501525879,0.11064891517162323,
2000-02-15,0.8905788660049438,3.690624952316284,,,29.97027015686035,0.1063569039106369,
2000-02-16,0.8540948629379272,3.534374952316284,,,29.685213088989258,0.11124502122402191,
2000-02-17,0.859708309173584,3.450000047683716,,,30.29337501525879,0.1151798740029335,
2000-02-18,0.8325794339179993,3.237499952316284,,,28.906028747558594,0.12853474915027618,
2000-02-22,0.8517564535140991,3.1781249046325684,,,28.525920867919922,0.12495696544647217,
2000-02-23,0.8699979782104492,3.5218749046325684,,,28.65896987915039,0.12567302584648132,
2000-02-24,0.8621636033058167,3.421875,,,28.81100845336914,0.12448080629110336,
2000-02-25,0.826030433177948,3.456249952316284,,,27.765748977661133,0.11673015356063843,
2000-02-28,0.8475470542907715,3.2874999046325684,,,27.841764450073242,0.11589593440294266,
2000-02-29,0.8578376770019531,3.4437499046325684,,,27.17658805847168,0.12209533900022507,
2000-03-01,0.975239634513855,3.293750047683716,,,27.61370849609375,0.11851862072944641,
2000-03-02,0.9130305647850037,3.128124952316284,,,28.392898559570312,0.11052986234426498,
2000-03-03,0.9579334259033203,3.125,,,29.22910499572754,0.1123182475566864,
2000-03-06,0.9406275153160095,3.1968750953674316,,,27.55668830871582,0.11160306632518768,
2000-03-07,0.9195786714553833,3.174999952316284,,,28.24086570739746,0.15893925726413727,
